metabolome_name	module
CPD1151	lemonchiffon3
CPD1152	dodgerblue
CPD1153	turquoise
CPD1154	turquoise
CPD1155	blue2
CPD1156	whitesmoke
CPD1157	burlywood
CPD1158	lavenderblush
CPD1159	seashell3
CPD1160	green4
CPD1161	greenyellow
CPD1162	darkviolet
CPD1163	steelblue
CPD1164	green
CPD1165	magenta2
CPD1166	turquoise
CPD1167	lavenderblush1
CPD1168	coral3
CPD1169	magenta4
CPD1170	grey60
CPD1171	sienna4
CPD1172	thistle2
CPD1173	brown
CPD1174	darkgoldenrod4
CPD1175	mediumvioletred
CPD1176	brown4
CPD1177	navajowhite1
CPD1178	turquoise
CPD1179	white
CPD1180	lightyellow
CPD1181	mediumpurple4
CPD1182	blue
CPD1183	antiquewhite1
CPD1184	yellow
CPD1185	blue
CPD1186	navajowhite
CPD1187	royalblue4
CPD1188	black
CPD1189	moccasin
CPD1190	paleturquoise
CPD1191	lightsalmon4
CPD1192	tan
CPD1193	brown1
CPD1194	lightblue2
CPD1195	blue2
CPD1196	salmon1
CPD1197	mediumpurple1
CPD1198	sienna2
CPD1199	honeydew1
CPD1200	turquoise
CPD1201	pink
CPD1202	turquoise
CPD1203	magenta2
CPD1204	plum3
CPD1205	yellow4
CPD1206	darkturquoise
CPD1207	dodgerblue3
CPD1208	linen
CPD1209	lightblue
CPD1210	seashell4
CPD1211	sienna2
CPD1212	blueviolet
CPD1213	purple
CPD1214	black
CPD1215	mediumorchid4
CPD1216	violetred4
CPD1217	darkseagreen3
