species	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_UBA10216;g_JAAGZO01;s_JAAGZO01_sp024206195	2011	437	363	524	427	501	985	3404	1156	2230	1465	5091	495	422	679	590	434	564	375	334	257	97	277	123
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_UBA583;g_UBA583;s_UBA583_sp027858315	676	155	201	107	112	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1;g_JAFGPP01;s_JAFGPP01_sp016936135	252	153	222	167	157	230	0	0	0	0	0	0	0	0	0	0	0	0	31	45	35	35	44	132
d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1;g_JAUWGL01;s_JAUWGL01_sp030606465	81	51	43	27	50	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Poseidoniia;o_Poseidoniales;f_Poseidoniaceae;g_MGIIa-L4;s_MGIIa-L4_sp002718195	1136	297	299	432	305	379	366	1499	360	632	522	1860	319	470	1417	1096	350	664	1563	1375	1203	333	1062	545
d_Archaea;p_Thermoplasmatota;c_Poseidoniia;o_Poseidoniales;f_Thalassarchaeaceae;g_MGIIb-N2;s_unclassify_g_MGIIb-N2	161	70	309	40	103	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Methanomassiliicoccus;s_Methanomassiliicoccus_luminyensis	127	81	87	81	109	135	92	2111	509	782	508	132	13	14	35	18	18	13	119	95	115	97	95	246
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Methanomassiliicoccus_A;s_Methanomassiliicoccus_A_sp905202485	99	84	78	43	50	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_JAAYNL01;s_JAAYNL01_sp012520845	317	404	920	395	263	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_JAAYZC01;s_JAAYZC01_sp012515075	132	116	80	155	158	119	1947	843	190	60	234	313	56	56	128	75	34	109	0	0	0	0	0	0
