MetaB_module_ID	module_color	module_name	metabolome_name
MetaB_M020	blueviolet	MEblueviolet	CPD0906
MetaB_M020	blueviolet	MEblueviolet	CPD0913
MetaB_M020	blueviolet	MEblueviolet	CPD0958
MetaB_M020	blueviolet	MEblueviolet	CPD1013
MetaB_M020	blueviolet	MEblueviolet	CPD1015
MetaB_M020	blueviolet	MEblueviolet	CPD1035
MetaB_M020	blueviolet	MEblueviolet	CPD1089
MetaB_M020	blueviolet	MEblueviolet	CPD1090
MetaB_M020	blueviolet	MEblueviolet	CPD1113
MetaB_M020	blueviolet	MEblueviolet	CPD1182
MetaB_M020	blueviolet	MEblueviolet	CPD1185
MetaB_M020	blueviolet	MEblueviolet	CPD1212
MetaB_M020	blueviolet	MEblueviolet	CPD1232
MetaB_M020	blueviolet	MEblueviolet	CPD1247
MetaB_M020	blueviolet	MEblueviolet	CPD1262
MetaB_M020	blueviolet	MEblueviolet	CPD1292
MetaB_M020	blueviolet	MEblueviolet	CPD1307
MetaB_M020	blueviolet	MEblueviolet	CPD1317
MetaB_M020	blueviolet	MEblueviolet	CPD1377
MetaB_M020	blueviolet	MEblueviolet	CPD1390
MetaB_M020	blueviolet	MEblueviolet	CPD1476
MetaB_M020	blueviolet	MEblueviolet	CPD1550
MetaB_M020	blueviolet	MEblueviolet	CPD1558
MetaB_M020	blueviolet	MEblueviolet	CPD1570
MetaB_M020	blueviolet	MEblueviolet	CPD1587
MetaB_M020	blueviolet	MEblueviolet	CPD1599
MetaB_M020	blueviolet	MEblueviolet	CPD1622
MetaB_M020	blueviolet	MEblueviolet	CPD1658
MetaB_M020	blueviolet	MEblueviolet	CPD1732
MetaB_M020	blueviolet	MEblueviolet	CPD1785
MetaB_M020	blueviolet	MEblueviolet	CPD1844
MetaB_M020	blueviolet	MEblueviolet	CPD1867
MetaB_M020	blueviolet	MEblueviolet	CPD1960
MetaB_M020	blueviolet	MEblueviolet	CPD2042
MetaB_M020	blueviolet	MEblueviolet	CPD2054
MetaB_M020	blueviolet	MEblueviolet	CPD2112
MetaB_M020	blueviolet	MEblueviolet	CPD2126
MetaB_M020	blueviolet	MEblueviolet	CPD2211
MetaB_M020	blueviolet	MEblueviolet	CPD2254
MetaB_M020	blueviolet	MEblueviolet	CPD2258
MetaB_M020	blueviolet	MEblueviolet	CPD2263
MetaB_M020	blueviolet	MEblueviolet	CPD2267
MetaB_M020	blueviolet	MEblueviolet	CPD2313
MetaB_M020	blueviolet	MEblueviolet	CPD2352
MetaB_M020	blueviolet	MEblueviolet	CPD2390
MetaB_M020	blueviolet	MEblueviolet	CPD2422
MetaB_M020	blueviolet	MEblueviolet	CPD2432
MetaB_M020	blueviolet	MEblueviolet	CPD2459
MetaB_M020	blueviolet	MEblueviolet	CPD2521
MetaB_M020	blueviolet	MEblueviolet	CPD2523
MetaB_M020	blueviolet	MEblueviolet	CPD2557
MetaB_M020	blueviolet	MEblueviolet	CPD2574
MetaB_M020	blueviolet	MEblueviolet	CPD2589
MetaB_M020	blueviolet	MEblueviolet	CPD2739
MetaB_M020	blueviolet	MEblueviolet	CPD2812
MetaB_M020	blueviolet	MEblueviolet	CPD2863
MetaB_M020	blueviolet	MEblueviolet	CPD2871
MetaB_M020	blueviolet	MEblueviolet	CPD2885
MetaB_M020	blueviolet	MEblueviolet	CPD3010
MetaB_M020	blueviolet	MEblueviolet	CPD3263
MetaB_M020	blueviolet	MEblueviolet	CPD3315
MetaB_M020	blueviolet	MEblueviolet	CPD3366
MetaB_M020	blueviolet	MEblueviolet	CPD3368
MetaB_M020	blueviolet	MEblueviolet	CPD3490
MetaB_M021	brown1	MEbrown1	CPD0354
MetaB_M021	brown1	MEbrown1	CPD0591
MetaB_M021	brown1	MEbrown1	CPD0908
MetaB_M021	brown1	MEbrown1	CPD1131
MetaB_M021	brown1	MEbrown1	CPD1193
MetaB_M021	brown1	MEbrown1	CPD1245
MetaB_M021	brown1	MEbrown1	CPD1287
MetaB_M021	brown1	MEbrown1	CPD2179
MetaB_M021	brown1	MEbrown1	CPD3072
MetaB_M021	brown1	MEbrown1	CPD3399
MetaB_M022	brown2	MEbrown2	CPD0012
MetaB_M022	brown2	MEbrown2	CPD0019
MetaB_M022	brown2	MEbrown2	CPD0032
MetaB_M022	brown2	MEbrown2	CPD0221
MetaB_M022	brown2	MEbrown2	CPD0454
MetaB_M022	brown2	MEbrown2	CPD0518
MetaB_M022	brown2	MEbrown2	CPD0887
MetaB_M022	brown2	MEbrown2	CPD0890
MetaB_M022	brown2	MEbrown2	CPD0938
MetaB_M022	brown2	MEbrown2	CPD0957
MetaB_M022	brown2	MEbrown2	CPD1053
MetaB_M022	brown2	MEbrown2	CPD1055
MetaB_M022	brown2	MEbrown2	CPD1273
MetaB_M022	brown2	MEbrown2	CPD1291
MetaB_M022	brown2	MEbrown2	CPD1371
MetaB_M022	brown2	MEbrown2	CPD1389
MetaB_M022	brown2	MEbrown2	CPD1449
MetaB_M022	brown2	MEbrown2	CPD1781
MetaB_M022	brown2	MEbrown2	CPD1793
MetaB_M022	brown2	MEbrown2	CPD1825
MetaB_M022	brown2	MEbrown2	CPD1851
MetaB_M022	brown2	MEbrown2	CPD1902
MetaB_M022	brown2	MEbrown2	CPD2301
MetaB_M022	brown2	MEbrown2	CPD2363
MetaB_M022	brown2	MEbrown2	CPD2438
MetaB_M022	brown2	MEbrown2	CPD2504
MetaB_M022	brown2	MEbrown2	CPD2572
MetaB_M022	brown2	MEbrown2	CPD2597
MetaB_M022	brown2	MEbrown2	CPD2648
MetaB_M022	brown2	MEbrown2	CPD2756
MetaB_M022	brown2	MEbrown2	CPD2872
MetaB_M022	brown2	MEbrown2	CPD3080
MetaB_M022	brown2	MEbrown2	CPD3093
MetaB_M022	brown2	MEbrown2	CPD3141
MetaB_M022	brown2	MEbrown2	CPD3219
MetaB_M022	brown2	MEbrown2	CPD3237
MetaB_M022	brown2	MEbrown2	CPD3244
MetaB_M022	brown2	MEbrown2	CPD3364
