module_ID	module_name	category_C	category_B
M00376	3-Hydroxypropionate bi-cycle	Carbon fixation	Energy metabolism
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Carbon fixation	Energy metabolism
M00378	F420 biosynthesis, archaea	Methane metabolism	Energy metabolism
M00415	Fatty acid elongation in endoplasmic reticulum	Fatty acid metabolism	Lipid metabolism
M00416	Cytochrome aa3-600 menaquinol oxidase	ATP synthesis	Energy metabolism
M00417	Cytochrome o ubiquinol oxidase	ATP synthesis	Energy metabolism
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	Aromatics degradation	Xenobiotics biodegradation
M00419	Cymene degradation, p-cymene => p-cumate	Aromatics degradation	Xenobiotics biodegradation
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	Methane metabolism	Energy metabolism
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Branched-chain amino acid metabolism	Amino acid metabolism
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	Lysine metabolism	Amino acid metabolism
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Lysine metabolism	Amino acid metabolism
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Lysine metabolism	Amino acid metabolism
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Lysine metabolism	Amino acid metabolism
M00528	Nitrification, ammonia => nitrite	Nitrogen metabolism	Energy metabolism
M00529	Denitrification, nitrate => nitrogen	Nitrogen metabolism	Energy metabolism
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	Nitrogen metabolism	Energy metabolism
M00531	Assimilatory nitrate reduction, nitrate => ammonia	Nitrogen metabolism	Energy metabolism
M00532	Photorespiration	Other carbohydrate metabolism	Carbohydrate metabolism
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	Aromatic amino acid metabolism	Amino acid metabolism
M00534	Naphthalene degradation, naphthalene => salicylate	Aromatics degradation	Xenobiotics biodegradation
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Branched-chain amino acid metabolism	Amino acid metabolism
M00537	Xylene degradation, xylene => methylbenzoate	Aromatics degradation	Xenobiotics biodegradation
M00538	Toluene degradation, toluene => benzoate	Aromatics degradation	Xenobiotics biodegradation
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	Aromatics degradation	Xenobiotics biodegradation
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	Aromatics degradation	Xenobiotics biodegradation
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	Aromatics degradation	Xenobiotics biodegradation
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	Pathogenicity	Gene set
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	Aromatics degradation	Xenobiotics biodegradation
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	Aromatics degradation	Xenobiotics biodegradation
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	Aromatics degradation	Xenobiotics biodegradation
M00546	Purine degradation, xanthine => urea	Purine metabolism	Nucleotide metabolism
M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	Aromatics degradation	Xenobiotics biodegradation
