Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_AF33-28;s_AF33-28_sp003477885	0.43762398	0.87476104	0.49080086	0.82623804	0.49359846	0.6059131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Acetatifactor;s_Acetatifactor_sp017473665	0.12753803	0.21183375	0.2651452	0.13457206	0.07314679	0.16051868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Acetatifactor;s_Acetatifactor_sp017521605	2.93265	2.03901148	1.78142452	2.6119776	2.8684608	0.622744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Acetatifactor;s_Acetatifactor_sp947586055	0.263580305	0.8834879	0.88067955	0.57825432	0.21695599000000002	0.40548028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Aequitasia;s_Aequitasia_blattaphilus	0.21229446	0.5400323	0.11010793	0.12108269	0.07991774	0.08920588	0	0	0	0	0	0	1.51264134	2.7678336199999998	1.55111108	1.74587535	1.8195200799999998	0.8449317	0.85560214	1.139446006	1.131471746	0.334976791	1.008099439	0.82888213
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Aequitasia;s_Aequitasia_blattaphilus_A	0.808906	0.38208157	0.52015245	0.28738016	0.44029438	0.32665834	0.12165459	0.1094446	0.13625252	0.3838983	0.07869599	0.0	0.63200814	1.7866751	1.2271373	0.5372984	1.5531076	1.1732588	1.40611637	1.87470752	0.45649452	0.50838597	1.07430273	1.35889326
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaerocolumna;s_Anaerocolumna_jejuensis	0.36266529599999997	0.376721309	0.82216035	0.90709248	0.177243218	0.8239992899999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaerosporobacter;s_Anaerosporobacter_sp018372435	0.84314096	0.6560486	0.69239296	0.5343198	0.69080872	0.539866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bovifimicola;s_Bovifimicola_sp900315425	1.25246264	1.50437784	1.59555412	1.5264486	1.7740684	1.14728856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp030825115	1.2552297399999999	1.8414388000000002	0.6748670999999999	1.85053259	0.73107268	0.71413024	0.024448449	0.27493334	0.1290872	0.120986074	0.071168624	0.3151306	0	0	0	0	0	0	0	0	0	0	0	0
