gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K02667	11.307926843	8.542177026	5.796602157	13.3914952913	10.062425168	23.071750832	12.2180602	14.883421779	16.68656588	8.926952565	11.558481121	8.625326552	18.896283202	13.957153078	17.131638261	16.675489051	18.062888811	18.120540396	40.764451659	23.830473578	12.21833566	15.11537312	15.3970298095	14.290868354
K02668	2.823600804	2.417263283	2.408513895	5.109316457	3.09503595	8.793987591	9.848860859	12.955401241	5.191211005	1.990678844	2.945374125	2.025063005	8.06959649	4.184437205	5.50095706	8.094921228	9.179863545	7.96258126	23.435285739	4.203589869	4.397627834	3.1478205815	8.088193251	6.656788153
K02669	77.61364545	78.730038948	86.754644252	77.7860798226	80.866804107	143.58148201	181.771004576	187.4822454977	189.166818875	167.215534178	194.492362384	208.697253499	217.9837118755	216.49908884	195.968384866	219.62757196	229.037305844	242.78088057	200.5930056885	161.679814677	136.417364333	166.157407654	156.6099211455	154.883108006
K02670	0.29396987	0.517120244	1.16106152	2.0062886594	1.04432317	1.36054525	7.790747855	8.77062511	7.85779625	3.74418073	3.758357235	5.094109752	3.807873967	2.086396643	3.679077801	6.581414128	4.14445508	4.600298982	87.283000111	4.906524912	3.401306499	6.525617991	2.975669621	1.932822436
K02671	6.488675912	4.902227925	3.196915045	6.314800364	4.704415806	24.62186821	6.537029395	9.061215192	7.1742151	2.430293631	3.365249576	2.724819777	7.224756291	5.308506756	6.418088709	15.832454309	15.128504861	8.400190018	21.067431664	2.487658441	3.133260044	2.269101253	5.28778148	2.275497369
K02672	6.462733636	5.007897043	3.949001643	7.635780837	5.266716218	24.863379452	7.882254575	10.757965164	8.309288329	3.623113533	4.517191302	3.675775157	8.009389318	7.137270052	8.907649192	13.338393609	11.884515906	11.268899105	27.326135748	4.795961379	6.170146202	6.729931966	8.640974269	6.172204066
K02673	1.35128427	2.637638185	3.467723367	3.52451034	1.86586238	6.17641856	3.102915214	1.74835524	6.78182444	2.149697655	1.909034198	2.2155528	4.640398903	3.783759139	5.74372955	7.691534562	6.929824058	7.58390533	23.147670941	2.572092638	2.827663803	1.971853169	6.097508927	4.196034932
K02674	12.6400182906	10.131231177	10.965796239	22.1815301534	13.200999602	38.077001791	11.805105342	16.430564897	20.355870409	8.605686674	8.880347311	7.5204407867	24.826620975	16.68338489	22.577984279	37.460444059	34.411801983	29.1268082595	44.077357281	15.8775926125	13.499390029	17.381912062	17.786309563	17.366182513
K02676	0.198251955	0.16214022	0.432547364	1.147817083	0.4197121	0.185846175	6.17563865	7.529858728	3.436519047	0.948884556	1.72836284	1.261600947	1.433203164	0.362778702	0.682294089	0.653780196	1.12610643	0.61218885	16.65228158	0.57023065	0.379524762	0.38395736	0.113264792	0.501469894
K02679	8.41121965	1.738277583	1.8645488	0.643831132	3.00570341	3.249816223	0.749746932	1.3575153	0.317424911	1.49603916	1.078494072	3.94519032	0.28460959	0.085602455	0.30065632	0.204491195	0.40216707	0.25995983	4.06430836	1.542121187	0.854626062	1.692000432	0.93699985	0.548669634
