KO Bger Esin Pame Pful
K00624 16.5474644811667 6.15642894375 20.0701735198333 19.4170981496667
K00625 265.972875730667 276.314012349083 254.197003577417 245.528509083817
K00626 194.751771090333 383.965038910433 302.819807661 237.046287801217
K00627 89.3752572126667 143.5998878105 123.932299667 114.381833783083
K00631 5.1291897825 19.7673531141667 10.8566934996667 9.24205220888333
K00632 13.2719521426667 36.8808286968333 20.6134247148333 19.08112719875
K00633 49.044814882 51.5749538553333 43.0839421705 40.6345003875
K00634 275.28556266625 195.334101542167 234.773770516 201.223534430217
K00638 11.0678807928333 18.6554086343333 8.84517306966667 8.06427636716667
K00639 305.359639134917 287.308629548167 260.996319584033 246.322040990917
K00640 273.49779755575 340.1523773957 307.58296612675 307.35996037335
K00641 76.89083865925 87.3664799264167 74.1788413463333 70.5678034296667
K00643 2.21929098233333 2.2035132845 0.252450236833333 0.2826875935
K00645 324.630950804483 304.839011861267 281.38776213505 264.481506748467
K00646 2.95306376925 0.228405180833333 0 0.0390389895
K00647 238.1437098205 166.68051381125 308.745568614667 258.801084502133
K00648 481.795603177417 457.40942960215 421.289521945667 447.601148384517
K00651 176.7580849785 228.47768434565 201.962287812167 181.862635380067
K00652 249.2166848685 193.101334878467 183.8768397099 172.633355174517
K00654 0.2325672675 1.52529266833333 0.7562184075 0.697727313333333
K00655 432.45378271875 454.748620398083 418.7045801565 416.427559824
K00656 166.601602583 168.376303248 136.252727098167 182.327958792083
K00657 434.2075159265 308.279053502417 340.128956591083 322.8783476735
K00658 20.380814906 20.529569364 10.9238680295833 32.68721514
K00661 614.246112037 372.949917788667 285.0489310375 437.07688368275
K00662 260.0657927595 155.848826460667 179.563330921167 206.7057757463
K00663 103.219516328333 61.8824639743333 52.746077553 76.0333679771667
K00666 211.4459758939 377.011023572833 315.424991350417 260.020547605917
K00667 0.246529476666667 0.171571518333333 0 0
K00668 0.246529476666667 0.348315875166667 0 0
K00669 0.245969506666667 3.87654971666667 0.128846245 0.700524839
K00673 1.19468103283333 7.071091485 0.523378505333333 2.2227699065
K00674 73.2510980347 92.06558885825 47.3756364716667 55.5827217063333
K00675 2.9880881615 15.1647117135 12.7504024973333 15.0093491956667
K00677 220.5442229468 179.33708988375 183.621325000167 206.489520240367
K00681 36.5454380479167 62.5543331083333 67.2867472170833 53.5130544351667
K00683 0.294946314666667 0.624367175833333 0.498470664333333 0.0620042556666667
K00684 27.2121279585 23.4632786726667 46.7550190335 44.8683429366667
K00686 2.48822815016667 1.85876058533333 2.37683508333333 1.5343204425
K00687 8.16777899233333 13.2559393286667 4.003909023 4.36195304958333
K00688 365.700461268667 493.58977182425 474.7255682865 447.995451072133
K00689 12.6500047176667 0 0.43715738 0.334760227333333
K00690 15.9798706424333 43.6560568956667 11.4134549028333 27.582050631
