metabolites Bger Esin Pame Pful
CPD0195 24.909328764572 24.9733445227937 26.6335358713121 24.278676485314
CPD0196 27.5024038573968 26.0574887520742 27.7192750571678 27.4905706140108
CPD0197 25.6632191793924 26.1526911447248 26.8073827315367 27.7323614907957
CPD0198 21.8631184546537 25.0746818795543 23.5385083966605 20.8858734705103
CPD0199 21.8631184546537 25.0746818795543 23.5385083966605 20.8858734705103
CPD0200 25.0498960147877 23.3577603313993 24.1832233195259 23.8587467637013
CPD0201 22.5222709510975 22.642852918957 22.4982018470333 22.8477982881079
CPD0202 24.2138724238445 26.0843684496775 24.5586479716158 24.2969296824722
CPD0203 27.3234764882701 25.7619316639733 25.2968683161452 25.9370648480633
CPD0204 27.3492454763492 28.4061400111942 26.8395321248363 26.8305315804018
CPD0205 32.358292056373 30.717423130632 32.1647952178277 32.5597543015506
CPD0206 22.0782877914992 26.2156861839122 20.646737388243 21.1259300520336
CPD0207 23.0727987231685 26.6995531339953 24.2889310941693 22.9535383047149
CPD0208 20.824803495108 21.3065621612645 25.0368348737635 20.4549688538637
CPD0209 24.8131994695109 22.858307046124 22.8268293486902 24.9013554715544
CPD0210 23.9316862904623 21.9475316157372 20.8445614928347 19.9767676765832
CPD0211 24.0123038321778 16.6632045146303 23.632966584523 24.2557248887712
CPD0212 26.0683650414069 25.6737935679825 25.0822801926181 25.7497561718991
CPD0213 24.8179820504558 23.2975030283289 24.3811478876492 24.2694696375528
CPD0214 23.2230730916044 20.3745431201971 26.1356065711524 24.5158752430216
CPD0215 23.2693250351301 24.2872126232341 23.8178088294258 23.9927738880775
CPD0216 24.909328764572 24.9733445227937 26.6335358713121 24.278676485314
CPD0217 20.9488255729605 19.1780209274304 20.4988225946091 19.9079739761539
CPD0218 21.3015258885581 21.5677176845686 21.963042146013 22.171582777629
CPD0219 23.1775094571466 23.76364150611 23.9780811340329 23.7199554758521
CPD0220 18.3338173287679 20.3930558801072 20.4510345810261 20.6635458020891
CPD0221 19.3704552595513 19.4827555763984 20.0348997474698 19.9030073563195
CPD0222 23.6356860647808 26.4699027716275 25.4209063334653 24.9524935519735
CPD0223 24.9360343504253 28.6980225707136 25.9045917214167 24.6873641028481
CPD0224 23.9316541453908 21.722687119534 20.2400168384484 22.1743839099343
CPD0225 19.8165033395106 18.6824991781161 18.7600085057644 19.2556562938232
CPD0226 21.6269935584228 20.1697854280273 20.179646634673 20.1474850120167
CPD0227 20.8364271013712 20.8413643557922 22.2324361250069 23.015396556818
CPD0228 24.2357115477366 21.978694942055 24.4556026807686 24.4914574892301
CPD0229 25.4080984228935 23.1437692500085 24.0345112341221 23.6294608375064
CPD0230 18.7693779258292 19.723157169457 21.5204041312991 22.0796004253115
CPD0231 22.2072550698717 23.5148424728437 23.2959711917632 22.000314085845
CPD0232 21.7287866161644 19.5940998198239 22.1921829742919 20.674819560635
CPD0233 21.999683341769 21.4196133207182 21.3270309501207 23.073995477815
CPD0234 17.9214535220281 23.5753385651637 20.090811862396 18.4141422057294
CPD0235 19.937044736198 21.6387029787433 22.3066542079008 22.0137738824091
CPD0236 22.5947250708166 21.4293605154697 21.6173041331081 21.5696296550789
CPD0237 27.2219132525852 27.7342550171044 27.5918619859842 27.7294981301732
CPD0238 22.2186729135326 24.0739220210536 21.8832866939302 22.8562605119278
CPD0239 20.5611390206128 23.3995377302014 21.339812874236 20.9806328475523
CPD0240 25.6809229568621 25.5590825222532 26.8535649361104 24.1380580999366
CPD0241 24.8498351272448 31.5949978962466 28.88423472591 28.757546338221
CPD0242 24.8498351272448 31.5949978962466 28.88423472591 28.757546338221
CPD0243 24.8498351272448 31.5949978962466 28.88423472591 28.757546338221
CPD0244 23.0962353341637 21.6292141368631 22.2450016121104 22.8053182129223
CPD0245 22.3571928637357 19.9912283469384 20.6430457289606 22.0095242869993
CPD0246 22.3496673566591 22.2916141986149 21.8869231324084 21.8943174567186
CPD0247 20.479399169649 23.7291478577151 20.9712701950781 20.2590495512341
CPD0248 24.0301225850089 25.8183564488698 20.870927332308 21.6003983158892
CPD0249 26.1617893895891 22.2499746044539 23.6409371591041 23.4684609452851
CPD0250 23.6697826082421 23.0600156814041 25.1283459440845 25.2537321207553
CPD0251 22.7041441592951 23.1193529363077 21.8183299452943 21.7751318716668
CPD0252 22.5702603615686 24.8834568886598 24.5638081949402 23.278572237676
CPD0253 20.5549235127139 20.0485793114525 19.7068251546648 19.3205690436149
CPD0254 21.1571071493575 22.4249256279798 22.2777792272385 20.0630251226691
CPD0255 21.5655579767955 22.7375291688144 22.5422771605744 25.7598206682846
CPD0256 25.3258116299748 23.8839399948472 24.6293175375981 24.5423500016487
CPD0257 25.6632191793924 26.1526911447248 26.8073827315367 27.7323614907957
