gene	Human_vs_Wild	Lab_vs_Wild
ko04122	-4.05819687372946	-3.47479121339239
M00984	-4.10326630790906	-2.20814440883342
M00878	-4.10446075670787	-4.62566256194999
M00168	-4.14790510388475	-5.72245347713054
M00172	-4.18053296093145	-4.62258296430606
M00170	-4.21627099245163	-4.9221657199539
ko02060	-4.42978218335101	-1.03717665869312
M00885	-4.71493496078088	-2.53545261018863
M00042	-4.73672045289988	-3.50129834227628
M00530	-4.73672045289988	-4.56831056198181
M00018	-4.98463817473198	-6.25719936436584
M00769	-4.98782704751943	-3.43459846550819
ko00908	-5.10322381760012	-3.43819472852016
M00851	-5.10895876317657	-4.57641648368419
M00015	-5.21267963627068	-0.566848865475947
M00538	-5.28287137329845	-3.45303159016227
M00641	-5.41554991471966	-4.90742632039409
M00564	-5.54327687294125	-0.492054255115754
M00696	-5.62415742336409	-4.81391358726753
M00175	-5.63254628578726	-3.79976106661376
M00555	-5.76287729620626	-4.96156527266005
M00027	-5.79518710241571	-3.54760259428774
ko00625	-5.80970131368251	-3.86725714029171
M00982	-5.8325258953353	-7.95999612323565
M00698	-5.87716038916497	-4.63866876170911
M00846	-5.87716038916497	-5.45382551930167
M00991	-6.44428686789885	-5.41373058354689
M00134	-6.44428686789885	0.0461836052193958
M00022	-6.44567615675804	-2.96751123022457
M00622	-6.63158008227493	-3.53568500033773
M00672	-6.64956229784214	-4.34408557704241
M00568	-6.78018430020351	-9.06156681128992
M00744	-7.14842312891051	-8.03182609547579
M00008	-7.31371610107876	-3.50069661138141
M00017	-7.51679934375778	-5.21018479283945
M00531	-7.5842956052475	-7.95999612323565
ko01053	-7.61153829236219	-6.12175595381141
M00887	-7.71225678662133	-5.65426281951853
M00419	-7.7257786151731	-3.00312065203182
M00674	-7.86079449814059	-6.34018298218839
M00745	-7.95630767132658	-7.38295860388775
M00664	-8.03847100546339	-4.97428316155755
M00736	-8.07182849377141	-2.70712687422798
M00975	-8.14261525677595	-5.42821903104985
ko00902	-8.28916542577729	-7.04136953802164
M00697	-8.32702439718321	-6.53933271641934
M00989	-8.40188485362877	-4.94974864187742
M00973	-8.6577294089808	-7.47822598233898
ko00643	-8.99887356844095	-7.13556512656154
ko00401	-9.1071019585056	-5.11319175886376
ko00642	-9.48195314274076	-6.30754724582002
M00552	-9.91265195316968	-5.70288158072048
M00537	-10.0273692474018	-5.35806214047136
ko00960	-10.1556705264537	-4.08629726713733
ko00984	-10.6738241935574	-5.29832180285197
ko00930	-10.6846406975895	-6.57817845300097
M00985	-10.905885608367	-6.82265379689526
M00040	-11.2399987429064	-5.91330208181881
ko02010	-11.8936244161136	-5.09633599877571
M00117	-11.9960171033844	-8.89580671791926
M00136	-12.5051554872885	-12.0128951232833
M00417	-12.6176094041661	-10.157494862714
M00416	-12.6938475641471	-8.76210858257973
ko02026	-12.6994657473833	-7.93631236565816
M00616	-13.1431583780362	-8.47555383634351
M00595	-13.24759129315	-9.42122496080082
M00012	-13.2796732730544	-11.9591038878634
M00540	-13.336083645162	-9.05197391900667
M00533	-13.7058195016589	-12.1370521243717
M00990	-13.8428320084396	-10.4411246115199
M00615	-14.2781514065704	-11.8967065552582
M00546	-14.3810906098471	-10.1951180449983
M00957	-15.1111265531398	-11.6178804176454
M00087	-15.4061617944173	-11.4974551634045
ko00364	-16.9870240453909	-15.5311695229067
M00879	-17.0285289155861	-13.2068610993283
M00545	-17.4361437857398	-14.2927351149428
M00956	-17.5881182180151	-13.2606796614652
M00534	-17.8805231476613	-14.6452821914045
M00638	-17.8805231476613	-13.3382288924896
M00939	-17.894318870318	-10.851603478431
M00960	-17.9182258223116	-14.6452821914045
M00649	-18.3139951319778	-14.8567199033622
M00875	-18.8897770900871	-13.5962650678815
M00915	-19.4241201044756	-17.0910394389394
M00548	-19.6160838092655	-16.7587765219407
M00918	-19.6562350151817	-14.7863857376077
ko00907	-19.6815340165044	-16.1693881606834
M00551	-19.9303024098248	-17.1866532099995
M00637	-19.9303024098248	-17.2390850263853
M00044	-20.1097542151616	-17.1866532099995
