CPD_ID,Bger_1,Bger_2,Bger_3,Bger_4,Bger_5,Bger_6,Esin_1,Esin_2,Esin_3,Esin_4,Esin_5,Esin_6,Pame_1,Pame_2,Pame_3,Pame_4,Pame_5,Pame_6,Pful_1,Pful_2,Pful_3,Pful_4,Pful_5,Pful_6,QC01,QC02,QC03,QC04
CPD2300,1153310.9500663499,1774520.70549329,1615557.77708523,1846288.0238322299,558934.76810878899,840834.30024344602,911207.53338472999,798587.95010859298,589375.39234990196,593594.25001742202,991071.60813281196,842755.79300781304,768690.629246898,3681032.8696281202,460304.878167969,724993.17758007895,4588678.0388828404,3481743.9647663399,8159207.36441484,9206842.5213817004,6262395.3518613297,19796259.215560898,17832744.400474701,13412871.932960199,4072839.6398976902,3994159.4680023398,3788799.5431103101,3781151.6774508399
CPD2301,73688.758093684897,24563.6681895033,37161.704223927904,31674.774350523901,0,0,405304.02923312498,304507.35601800698,319749.27566816402,212319.664257795,159073.061410959,100680.02505528901,2389887.7937658499,4275132.4085869603,1612062.0178984399,4060578.2045334801,6635687.4481361201,7067464.8685894096,955232.85222468805,3149380.0727953101,2108722.1446987502,737388.71976812405,550165.86521762598,1261898.5557525801,1630058.048375,1579534.9177440901,1389478.86839043,1157822.92842
CPD2302,12519649.408027301,20442366.751991399,16505687.442707,24043213.553353101,11843599.8548389,11649154.1777719,5469113.8075921899,7452665.91114097,6406659.7564531201,7000431.0789000001,4647773.4158928804,4643268.5673755202,10350783.1089643,16598952.9903029,10875756.5588286,18797740.898624599,31373189.748821098,27320901.525849,20946611.5825506,17635596.910773098,14943280.850793799,41402890.418396503,16961174.790893301,17931522.519273799,14057317.172587501,14418972.448230799,13546330.7815255,13945326.7544365
CPD2303,2840295.2134323101,2146613.6327700801,2169280.8384441701,1535145.6751416901,576405.92003906204,1042630.51385469,1611065.9413439,1103077.5469231401,670444.42200247897,614200.45692853595,954126.39661598206,4298608.6370324995,1630435.20335607,461974.39660811401,1961558.58257625,5492381.2464330802,0,7091297.1317541702,15093803.677797301,3352892.3568715998,5009785.6138725001,3291753.5094825001,3995349.4816625002,5727446.6925299997,2328661.85644871,2688599.02921945,1703418.20531823,2044369.5129044401
CPD2304,1510386.6324732699,1054858.9143437501,1022294.89608399,726403.95370199496,2490673.3650178998,474437.13510366599,143499.64337755399,105796.24582837,29685.238563245701,108970.16760519,13046.310817969201,16344.538971112899,2700566.1048329398,702315.347175968,1167505.3883241201,1663716.1450358101,811071.24754505197,418632.89225082198,1794293.29309668,971741.94532422,1684492.1446754299,408954.51572903001,488193.12226093799,523369.722910157,771628.73435084301,830843.942660806,863425.43662485201,769543.64131023898
CPD2305,3384714.1392045598,964787.56235416594,2554885.99394779,2153866.3089640299,1302950.3749031201,645250.26107812405,42671.992546115602,19455.4888397455,38332.825560607002,0,7036.9218891393402,0,193414.10904956999,49939.346069097497,224653.97792822099,317712.030747268,85076.887796872194,28047.292045911199,124595.686389671,58466.434897412903,50707.9189107567,31284.676798671499,38980.921197460702,32140.000898063201,705282.67260353104,719668.20984896005,630522.74984960898,570532.11697265797
CPD2306,604043.27944397798,1268570.9718561401,656511.58946692897,842247.07061076199,604493.76961017796,434162.79452488298,448047.34874573798,542034.50181074894,516814.73215771298,394294.80879795598,315720.906896781,398754.37627474801,571094.20187878597,617149.10283095005,18313.0873366456,965091.84185156098,700948.14280155301,422359.47771679802,152834.199139062,702342.232866287,355864.89114843699,631185.61632181494,551469.61344759096,784169.20853245305,568627.820648439,594529.67141300801,634514.94949603698,535627.86624125403
CPD2307,1158128.08716033,1897091.6920066599,1408182.6005390601,1249678.62385547,1260432.2492265599,1033520.08639205,359769.25105858798,336368.84373650199,315434.41833876597,355987.42139846098,328853.130075405,318821.71386749402,2865502.3148520701,4632027.7880195603,6205025.7369400701,3022406.4136763401,2660110.7950562499,1440202.2401715701,6318944.7757445201,3831678.83615088,5434678.3755238904,2740030.6404017699,4334330.1455009701,4112424.9017827502,2246644.89298914,2246948.9006589302,2616493.4827295402,2439821.3503535199
CPD2308,881196.85537866002,763006.75550494797,932566.63912500103,913021.69021875295,2942601.1170007801,2205079.5330644599,454398.40503370803,291547.59075793403,171848.04485127801,284237.76653406501,213381.31559358799,151509.54702421901,722056.18578473595,590144.39757490705,733069.53855395399,931795.82277343899,812885.85855261399,773895.01434788306,804916.88180831401,436122.91951904102,2204256.6204820299,799849.57526000799,340702.79853478097,968665.92921805405,952844.555213621,894584.60131347599,882434.59873301699,873159.646189783
CPD2309,1276062.71182845,961919.20456457604,879095.80541015603,2708544.1334013599,541447.34239628795,589390.40098405001,324388.03235285898,312236.476024609,325287.83941098797,303349.20167837403,30748.868799072199,266184.06682828697,84012.263105468694,91011.355495383497,214216.88972393799,89583.007293057599,406470.74122056097,65430.091214062602,205033.037240234,71543.477707031605,281897.04762656201,139456.585788422,65650.358861718996,131834.42301875001,256601.73450366201,347205.15567961801,402455.69199951098,397666.74155406601
CPD2310,166206463.97166601,117748622.16582499,194961021.4975,105952361.7366,447826850.48333299,422362306.90184999,8042268.4251054497,11997664.16625,7704129.4165032404,26184611.653901,16808116.502539001,6904756.2403645897,38719083.249499999,28222038.5285854,51131502.291725002,52883582.288125001,36798331.0341428,33819273.009843796,37190845.154233404,17462154.504843801,68429588.072929695,20715749.973713499,15953142.200416701,21986990.7832679,101244946.7457,101915530.743633,98989049.508866102,100950124.99505
