CPD_ID	MS2_name	MS2_score	level	MS1_name	MS1_ppm	mz	rt	Formula	type	HMDB	Chinese.Name	CAS	KEGG COMPOUND ID	Super.Class	Superclass.Chinese	Class	Class.Chinese	Sub.Class	Subclass.Chinese
CPD0575	Didanosine	3.81	level1			237.0982	60	C10H12N4O3	POS	HMDB0015037	去羟肌苷	69655-05-6	C06953	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleosides	嘌呤核苷类	"Purine 2',3'-dideoxyribonucleosides"	"嘌呤 2',3'-双脱氧核苷"
CPD0576	Royal jelly acid	3.81	level1			185.1188	50.9	C10H18O3	NEG	HMDB0244269	10－羟基－2－癸烯酸	14113-05-4		Organic acids and derivatives	有机酸及其衍生物	Hydroxy acids and derivatives	羟基酸及衍生物	Medium-chain hydroxy acids and derivatives	中链羟基酸及衍生物
CPD0577	2-Aminobenzenesulfonic acid	3.81	level1			172.0079	39.7	C6H7NO3S	NEG	HMDB0304940	2 -氨基苯磺酸	88-21-1	C06333	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzenesulfonic acids and derivatives	苯磺酸及衍生物
CPD0578	Hyodeoxycholic acid	3.8	level1			391.2864	57	C24H40O4	NEG	HMDB0000664	异脱氧胆酸 	83-49-8	C15517	Lipids and lipid-like molecules	脂质和类脂分子	Steroids and steroid derivatives	甾类和甾类衍生物	"Bile acids, alcohols and derivatives"	胆汁酸类、醇类及其衍生物
CPD0579	4′-Hydroxy-2′-methylacetophenone	3.8	level1			149.0612	37.7	C9H10O2	NEG		4 -羟基-2-甲基苯乙酮	875-59-2		Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0580	3-IsopropoxybenzoicAcid	3.8	level1			179.0718	19.3	C10H12O3	NEG		3 -异丙氧基苯甲酸	60772-67-0		Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzoic acids and derivatives	苯甲酸及衍生物
CPD0581	2-Hydroxycinnamic acid	3.8	level1			163.0406	86.9	C9H8O3	NEG	HMDB0002641	2 -羟基肉桂酸	583-17-5	C01772	Phenylpropanoids and polyketides	苯丙素类和聚酮类	Cinnamic acids and derivatives	肉桂酸及其衍生物	Hydroxycinnamic acids and derivatives	羟基肉桂酸及其衍生物
CPD0582	4-Hydroxycinnamic acid	3.8	level1			163.0406	86.9	C9H8O3	NEG	HMDB0002035	对香豆酸	7400-08-0	C00811	Phenylpropanoids and polyketides	苯丙素类和聚酮类	Cinnamic acids and derivatives	肉桂酸及其衍生物	Hydroxycinnamic acids and derivatives	羟基肉桂酸及其衍生物
CPD0583	Calenduloside E	3.8	level1			631.3863	118.1	C36H56O9	NEG	HMDB0302778	金盏花甙E	26020-14-4	C08964	Lipids and lipid-like molecules	脂质和类脂分子	Prenol lipids	异戊烯醇脂类	Terpene glycosides	萜类糖苷
CPD0584	Hexadecanedioic acid	3.8	level1			285.2081	102	C16H30O4	NEG	HMDB0000672	十六烷二酸	505-54-4	C19615	Lipids and lipid-like molecules	脂质和类脂分子	Fatty Acyls	脂肪酰类	Fatty acids and conjugates	脂肪酸和聚合物
CPD0585	Sph(d18:0)	3.8	level1			284.2946	37.4	C18H39NO2	POS	HMDB0000269	二羟神经鞘氨醇	764-22-7	C00836	Organic nitrogen compounds	有机含氮化合物	Organonitrogen compounds	有机氮化合物	Amines	胺
CPD0586	Euscaphic acid	3.8	level1			487.3448	34.8	C30H48O5	NEG	HMDB0036651	野鸦椿酸	53155-25-2	C17890	Lipids and lipid-like molecules	脂质和类脂分子	Prenol lipids	异戊烯醇脂类	Triterpenoids	三萜类
CPD0587	PC(16:0/16:0)	3.8	level1			716.5615	32.5	C40H80NO8P	POS	HMDB0000564	棕榈胆磷	63-89-8		Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphocholines	甘油磷酸胆碱
CPD0588	4'-Hydroxy-3'-methylacetophenone	3.79	level1			149.0612	37.7	C9H10O2	NEG	HMDB0059824	4 ' -羟基- 3 ' -甲基苯乙酮	876-02-8		Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0589	2'-Hydroxy-4'-methylacetophenone	3.79	level1			149.0612	37.7	C9H10O2	NEG		2 ' -羟基- 4-甲基苯乙酮	6921-64-8		Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0590	4-Allylcatechol	3.79	level1			149.0612	37.7	C9H10O2	NEG		4-烯丙基儿茶酚	1126-61-0		Benzenoids	苯环型化合物	Phenols	酚类	Benzenediols	苯二酚
CPD0591	Polygalacic acid	3.79	level1			503.3399	49.7	C30H48O6	NEG			22338-71-2		Lipids and lipid-like molecules	脂质和类脂分子	Prenol lipids	异戊烯醇脂类	Triterpenoids	三萜类
CPD0592	"2',4'-Dihydroxyacetophenone"	3.79	level1			151.0405	37.2	C8H8O3	NEG	HMDB0029659	去甲丹皮酚	89-84-9	C03663	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0593	3-Methyluridine	3.79	level1			257.0785	54.4	C10H14N2O6	NEG	HMDB0004813	N3 -甲基尿苷	2140-69-4		"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Pyrimidine nucleosides	嘧啶核苷类	Pyrimidine nucleosides	嘧啶核苷类
CPD0594	Homocitric acid	3.79	level1			205.036	265.7	C7H10O7	NEG	HMDB0003518	高柠檬酸	13052-73-8	C01251	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	Tricarboxylic acids and derivatives	三羧酸及衍生物
CPD0595	Arecaidine	3.79	level1			142.0861	190.3	C7H11NO2	POS	HMDB0030352	槟榔次碱	499-04-7	C10128	Alkaloids and derivatives	生物碱和衍生物	Alkaloids and derivatives	生物碱和衍生物	Alkaloids and derivatives	生物碱和衍生物
