sample	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_14354.t1	0.096697	0	0	0	0	0	0	0	0.093328	0	0	0	0	0	0.249388	0	0	0.110953	0	0	0	0	0	0.09676	0	0	0	0.117894	0	0	0	0	0.364766	0	0	0	0	0.115702	0	0	0	0	0	0.124913	0	0	0.248956	0	0	0
Pame_14355.t1	0.024842	0.348872	0.01687	0	0.025239	0.701531	0.031208	0.02291	0	0.023442	0	0.037672	0.008462	0	0	0.010672	0	0.009539	0	0.00992	0	0.010191	0.009778	0.02515	0	0	0.027926	0	0	0.01893	0.039055	0.030555	0.010414	0.086265	0.021127	0.009909	0.073611	0.009887	0.019686	0	0.044124	0	0.020238	0.02179	0	0.028994	0.021208	0.010813	0.02056	0.009092
Pame_14356.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_14357.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_14358.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_14359.t3	4.54872	4.63816	6.07694	1.02374	3.20821	4.5748	5.58281	1.91505	2.66408	3.98609	1.01517	1.77747	1.43716	0.741103	1.19437	1.51168	2.47874	2.36799	1.6717	1.77736	1.55702	2.04702	2.3041	2.10105	1.42274	1.56571	1.83636	1.9121	3.01084	1.48912	2.35728	3.78963	2.47376	4.73325	3.31569	2.82594	3.15473	2.69081	3.32364	2.5912	3.99663	4.07672	4.25709	4.57686	2.33129	3.99895	2.46564	4.40884	4.40244	4.08537
Pame_14360.t1	3.8738	8.77918	3.95261	8.7671	4.33711	6.54062	3.04897	7.21808	4.76729	5.68126	4.92943	6.8461	2.16915	8.16221	3.37245	7.73773	5.91512	1.2434	5.7538	3.76666	5.34211	10.5917	8.96491	7.3247	3.76982	11.0203	6.46743	9.69363	5.99787	6.21979	8.66045	8.43047	6.99464	11.8471	15.8484	7.54577	8.57559	6.97153	4.40595	8.75156	9.73995	9.96603	5.72792	11.4674	4.16668	8.30204	7.62331	0.68565	8.71221	4.09817
Pame_14361.t1	1.53349	1.1531	0.749213	0.460842	0.768612	0.94273	1.19466	0.596426	0.727288	0.924755	0.270867	1.22082	0.982544	0.954842	0.644668	1.47067	0.764002	0.772188	0.729905	0.776464	1.11102	1.6209	0.896967	1.71507	1.28809	1.09496	1.17728	1.23178	0.633036	1.32951	0.999421	0.848607	2.07063	1.59672	1.4809	1.44081	1.68968	2.10012	1.42851	1.29922	2.27505	2.25872	2.33276	3.32555	0.959032	4.42478	1.48784	0.694969	2.18232	2.22017
Pame_14362.t3	250.89	162.374	296.051	137.402	190.041	136.389	291.504	165.496	162.348	221.657	152.988	155.293	131.975	148.543	198.224	171.887	162.827	174.785	156.202	149.638	189.096	191.42	129.878	176.911	171.108	165.821	183.541	182.19	186.148	174.492	182.095	188.764	177.305	271.841	191.196	237.804	173.055	196.08	197.196	200.235	261.541	230.7	276.331	330.206	141.936	268.992	202.048	85.9981	192.287	175.586
Pame_14363.t2	1.72543	1.62356	0.621853	0.918069	0.784492	2.16454	0.918759	0.732256	0.722548	0.729249	0.687155	1.02126	0.896675	1.36965	1.4442	1.65778	1.31054	2.02034	1.62101	1.36843	1.70623	2.25699	1.22799	1.73067	1.27682	1.1139	1.87537	1.19935	1.23539	2.21652	0.9604	1.72486	2.7342	1.29354	1.61173	1.12053	1.61001	1.33511	1.78766	2.2517	1.62328	1.41184	1.48677	2.26552	2.09727	1.40196	1.6452	3.41287	1.81633	2.89697
Pame_14364.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_14365.t1	0	99.3589	0.852959	0	0	130.529	0	0.787589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.785	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03375	0	0
