gene Fam Hos Lab Res Wild
Pame_00608.t1 3.90425799434783 4.36042547667336 3.61296191707608 4.13996347194152 4.99401158543039
Pame_00609.t1 1.89477515216393 1.55049145920058 1.60764822522981 1.77389559798776 3.15656243021444
Pame_00610.t1 5.08729761217471 4.9583501439158 4.84309111000646 5.24743373656753 4.5106302639583
Pame_00615.t1 5.34200141333875 5.23065835252186 5.26489023432328 5.23286872900746 5.5022745162739
Pame_00616.t1 2.47823048061736 2.64738610527233 2.29481739047782 2.78111082574555 2.60420714673369
Pame_00629.t1 5.84308361723236 5.50911420666633 5.96869669082583 5.94130368901068 6.00627546913675
Pame_00631.t1 3.30188367834538 4.17345879361791 2.79848892700277 3.91755437211672 4.04639930180494
Pame_00636.t1 4.09946723865499 4.39445313543136 3.77518649393465 4.43401467763078 3.21410771983346
Pame_00639.t1 1.68850973913602 2.23917985444399 1.44710466509656 2.1476507876159 2.47345946350334
Pame_00641.t1 2.94346691012425 3.03485898709173 2.91026505448065 3.07715058742552 2.70600239103177
Pame_00642.t1 4.6868544327213 4.83286172314118 4.62083461994547 4.75879530792935 4.18057292789938
Pame_00657.t1 3.80174663779865 3.79727346482626 3.73416459159951 3.69152468979328 4.26306764296467
Pame_00660.t1 3.28669029708874 3.31009099607267 3.07172073019801 3.18890798631554 2.87723791215317
Pame_00673.t1 7.79725027033092 8.45568702223238 8.19801606261078 8.93053620194937 9.43230315772091
Pame_00675.t1 2.61379293460608 3.50666368376501 2.79967040049081 3.39154083515998 5.76856472628914
Pame_00676.t1 3.10124978975336 3.95488451480412 3.30481296115454 3.91229128319798 6.24393666729737
Pame_00677.t1 11.7580937317481 12.215704878271 11.6241575753469 11.9982456000077 11.6661020385565
Pame_00679.t1 9.35336474924219 9.61757069509694 9.29997301869313 9.78756065243465 8.89349391363288
Pame_00680.t1 8.35715610359262 8.74902848571932 8.38671164073057 8.6795451492032 9.07764101589043
Pame_00681.t1 8.496069195127 9.90497103693838 8.78764599782245 9.34453243511116 10.9261714027744
Pame_00682.t1 6.84748781443639 8.60789523704465 7.10251115798588 7.62801826358172 10.7737274467581
Pame_00687.t1 3.21632450175334 3.5973661208237 2.95300418172255 3.40613472983722 2.58163682218567
Pame_00688.t1 7.64808858266837 7.78260268617536 7.49075327294307 7.63279452482793 7.20397832385893
Pame_00691.t1 6.91920544138376 7.15559865855432 6.49055057184576 7.06191371292859 8.61689089883556
Pame_00693.t1 2.0164220398875 2.24952014611515 1.77996497672978 2.12544221945287 1.98557533316755
Pame_00694.t1 4.18834475670779 4.53082293026852 4.24732563776502 4.45841758695254 4.07600020912023
