gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K09950	1.04641249	0.724693554	0.88454307	2.32385596	0.707672455	0.980034369	8.710994574	13.4284143	0.71466206	0.334985944	1.27556825	0.67794618	1.537428861	1.304177086	1.90400365	2.612973649	2.331069216	2.3678323	29.14355332	4.431321811	11.14919447	6.484452213	3.971619106	4.461017696
K09951	73.69919094	40.44312379	52.47395728	62.12548856	30.98610061	32.70687578	142.754017	115.9546322	131.8959332	139.3630118	147.05441	108.6301204	108.5265665	97.76690087	97.15788663	115.6192973	115.890161	104.3148354	76.31253137	62.86995272	75.36665352	77.30029883	78.00614636	94.00599904
K09952	30.19254462	54.86035074	39.57016096	27.60869096	42.4396478	19.12054743	162.5724104	161.0135063	161.0362843	173.9924387	171.8606084	130.8668826	126.3566779	123.0937304	129.5106944	123.9794573	125.906966	119.2365864	121.6013548	98.0834457	104.3616497	116.8657737	105.3378767	107.1959299
K09953	8.926454956	9.294951166	6.65460854	3.906143202	8.788163244	9.798935639	7.185738103	21.51359755	9.01968422	11.91081795	9.530369538	7.597948577	8.439666809	8.236347735	10.10620506	12.66257536	10.7174862	13.35073046	28.8028705	6.090493289	8.574360343	5.093092102	13.83089966	8.476605987
K09954	1.4650904	3.78259004	1.70813094	0.31958273	1.79467278	0.665287324	2.649376292	10.04693535	3.76809831	3.333497567	2.825151612	2.819278905	0.35869293	0.18666099	0.2788096	0.280277089	0.5616491	0.114710033	0.54231234	1.33377562	1.7712822	0.44665357	0.364792044	0.95796524
K09955	1074.03741	924.0493655	1037.312517	1443.196358	1014.432432	901.4752685	458.2246658	557.1516264	495.0451376	617.0717502	463.7413039	481.8590373	480.2271886	454.2464411	548.5600868	550.9388141	532.3274679	579.4427855	629.875302	867.0805817	810.8007485	884.0986279	825.9850549	693.4076108
K09956	0.058574434	0.05269561	0.16869348	0.13442902	0.07578129	0.057523847	1.28427208	0.290684796	0.210675614	0.140164085	0.456652	3.62203686	0.073352166	0.070549086	0.02986587	0	0	0.064629674	0	0	0	0	0	0
K09957	9.321534488	15.88404981	12.55070783	5.990428939	14.41915293	16.327291	11.19771629	13.42122021	8.749995778	6.835058377	9.713039884	14.12623064	9.478167924	7.710284959	7.09865345	11.64667407	10.13065061	8.296371083	15.87412284	17.92959997	9.955214827	25.99919813	14.89608735	15.56847431
K09958	5.886555399	0.200138347	1.17710647	0.082505747	1.657233801	0.200703471	7.911948732	9.26233224	1.938503915	0.984212382	2.80194727	4.584941334	0.108040724	0.085602455	0.191007421	0.273521394	0.103435467	0.26042024	1.90952284	3.052294095	0.595655014	2.106914956	1.173928747	0.246531745
K09960	29.30537273	16.04391774	15.8619155	30.29863547	23.39656526	56.51548019	11.2164558	10.63075463	13.78409713	9.594234658	6.689051965	11.10794234	39.94592776	25.75264167	23.84748149	32.18982848	25.99494111	22.31735677	49.51655831	33.14639467	41.90333863	49.41830404	39.78331288	46.58017387
