CPD Fam Hos Lab Res Wild
neg_24707 15.4943804078319 16.0674614922099 14.7931404617227 15.713578356252 16.0580512666561
neg_27327 14.4448193749352 16.3407214960773 13.8763798711182 15.5078953117694 12.9296148127597
pos_2058 16.4806987181539 17.14416242683 16.3983599211753 17.1521869763127 17.9119498572189
pos_2948 17.6045181721252 17.2187409530947 15.3645705538678 17.0662686409773 16.132453934242
pos_4554 14.3499600982837 15.2399279425855 13.9994942945342 14.771106877794 13.7369492923425
pos_5389 12.8665277926706 13.0766295107308 12.5090019065001 11.8063805639788 10.368645309002
pos_5536 10.0516140815711 11.0330260179943 10.1139026336367 10.4003199755016 17.5305238229961
pos_11569 14.1196789285792 14.9714855500666 14.9896436339884 14.9573341183636 15.3639977721214
pos_12211 22.3545749342692 24.3368926850353 21.4575489149309 23.4685484460603 21.3186886853393
pos_20869 16.6145476805071 16.6787146418825 15.3100592706878 16.9984850522267 15.2862504595491
pos_24250 16.9263180595275 18.9447423865624 16.8073960144057 17.9685777181731 15.7326690696877
pos_24581 12.9624057814036 14.3213694807036 13.5170606408554 14.0530553021065 9.63150032077025
pos_24950 14.5462249176095 15.672992848919 14.211501964726 15.3713821650218 12.9530961155704
neg_3025 12.065680536172 12.6067141871093 10.7233078306809 12.5056494994929 11.3535012431197
neg_4491 12.8440353502192 14.0427241132665 12.9996466974759 13.3284652527171 12.5427800860137
neg_6532 16.2480267729354 17.3926414755994 15.3358232256628 16.6117986100218 12.3671337983298
neg_15993 15.3506224642961 16.7857171449804 15.1687044424896 16.0062628424102 20.3043950805574
neg_18385 15.7033117579075 16.8120944065417 15.2745334427733 15.9448281791365 9.07399770956506
neg_22260 15.5134030550374 16.2516536069362 15.2549820179771 16.0350587161863 17.8317712191437
neg_23774 16.4867947974974 17.2546655794518 15.6083295954699 16.6204107824291 15.531326138438
pos_2262 15.364286828379 17.1395196513804 14.5105305586893 16.3315703636449 13.9742926041903
pos_13463 20.7118538522295 22.777686808573 19.8167706255406 22.5099397591789 19.4754203514392
pos_15056 13.1096399915679 15.4287002838879 12.392147207174 13.5850655412361 8.22809044259598
pos_17220 10.7752116307881 11.9235687787014 9.68621922496647 10.9991827461829 8.96617246651116
pos_20474 13.7491343641446 14.3158228290341 14.3847930816312 14.5239648342724 14.4084745051633
pos_21817 12.2885155975691 11.7187035943363 11.1984970340623 11.8759287071127 9.02052942550089
pos_24346 6.7927192190899 9.39835106983467 6.7354466370336 8.01873099710178 4.75024499764188
pos_24416 13.198340418071 13.5880364876558 12.4388085629093 13.2490219878263 15.4130159009761
pos_24469 13.5365985194506 13.1892603420299 13.61593071222 10.4686714678052 11.7744133277287
neg_4892 11.9981168685466 11.4114726437073 11.2308314015487 11.4561603249941 9.54221983859529
neg_5133 13.2140910548029 14.440386123384 12.3210574520032 13.6512507677034 13.7016130427122
neg_7514 7.19921975803131 9.39216406234356 8.39697886648067 8.34948519519105 7.15619973947003
neg_7863 13.0225968426105 13.3914272676737 12.2225489354171 13.5644543127846 9.15058978483568
neg_9740 22.4256341817735 23.5232946640479 22.0349436399214 22.853754746005 21.8697341534184
neg_22054 10.5259829424685 12.6918054320785 9.33961442077114 11.9739242515129 14.9675847606258
neg_23540 15.6249273730299 16.4557260531034 15.4916104646668 16.2988545822652 13.9786097057839
neg_24791 15.3999915548028 16.20624844132 14.8594038762474 16.5307226420564 12.515173891923
neg_25304 13.640407144871 14.9978676782356 13.1910554615449 14.2905086254873 12.3096665634288
neg_26272 13.1814460791239 14.4038350892145 13.2925966628006 13.4802790365512 11.5896095343348
pos_1303 12.8520037390648 14.8644857847842 13.8982914487761 13.1748368709335 7.90014912691599
pos_1388 21.9763584916194 21.9940827310059 21.7075561109936 21.663422721289 19.2408629211779
